2026-04-28,stockCode,publishDate,stockName,style,hasPosition,Current drawdown,Largest drawdown,fall_to_lowest_drawdown,pe,pe10pos,pb,pb10pos,roe,div,funds
A股,930608,2015-03-31,中证基建,价值,,-24.99%,-43.35%,-24.48%,1.1e+01,52.89%,0.77,8.49%,7.00%,2.71%,"基建ETF(516950), 国泰中证基建ETF(159619), 华夏中证基建ETF(159635), 国泰中证基建ETF发起联接A(016836), 华安中证基建指数发起式A(016908), 国泰中证基建ETF发起联接C(016837), 华安中证基建指数发起式C(016909), 华夏中证基建ETF发起式联接A(017683), 华夏中证基建ETF发起式联接C(017684)"
A股,930614,2015-04-07,环保50,成长,,-36.60%,-62.36%,-40.63%,3.5e+01,79.64%,3.1,66.82%,8.86%,1.59%,"国泰中证环保产业50ETF(159861), 国泰中证环保产业50ETF联接A(012503), 国泰中证环保产业50ETF联接C(012504), 国泰中证环保产业50ETF联接E(021610)"
A股,930625,2015-04-21,SHS互联网,成长,,-38.83%,-63.51%,-40.35%,2.4e+01,5.88%,2.9,1.24%,12.08%,1.03%,"嘉实中证沪港深互联网ETF(517200), 互联网50(517050), 互联网龙头ETF(159856), 东财中证沪港深互联网ETF发起式联接A(012371), 汇添富中证沪港深互联网ETF(159729), 东财中证沪港深互联网ETF发起式联接C(012372), 东财中证沪港深互联网ETF发起式联接E(021358), 互联网ETF沪港深(159550)"
A股,930632,2015-05-12,CS稀金属,周期,,-6.15%,-66.21%,-64.00%,3.5e+01,35.57%,4.2,70.07%,12.00%,0.68%,"华富中证稀有金属主题ETF(561800), 嘉实中证稀有金属主题ETF(562800), 广发中证稀有金属ETF(159608), 嘉实中证稀有金属主题ETF发起联接A(014110), 华宝中证稀有金属指数增强发起A(013942), 嘉实中证稀有金属主题ETF发起联接C(014111), 华宝中证稀有金属指数增强发起C(013943), 稀有金属ETF基金(159671), 工银中证稀有金属主题ETF发起式联接A(019087), 工银中证稀有金属主题ETF发起式联接C(019088), 广发中证稀有金属ETF发起式联接A(019874), 广发中证稀有金属ETF发起式联接C(019875)"
A股,930633,2015-05-08,中证旅游,成长,,-46.92%,-53.17%,-11.77%,-5.4e+02,59.65%,2.2,25.02%,-0.41%,0.86%,"富国中证旅游主题ETF(159766), 华夏中证旅游主题ETF(562510)"
A股,930641,2015-05-19,中证中药,成长,,-32.40%,-42.37%,-14.75%,2.2e+01,5.56%,2.1,0.00%,9.55%,3.59%,"汇添富中证中药ETF联接（LOF）A(501011), 汇添富中证中药ETF联接（LOF）C(501012), 中医药(561510), 汇添富中证中药ETF(560080), 中药ETF(159647), 中药(562390), 鹏华中证中药ETF联接A(016891), 鹏华中证中药ETF联接C(016892)"
A股,930651,2015-06-05,CS计算机,成长,,-30.34%,-75.53%,-64.87%,5.2e+01,39.41%,4.9,69.37%,9.42%,0.91%,"天弘中证计算机主题ETF联接A(001629), 天弘中证计算机主题ETF联接C(001630), 国泰中证计算机主题ETF联接A(160224), 国泰中证计算机主题ETF(512720), 天弘中证计算机主题ETF(159998), 国泰中证计算机主题ETF联接C(010210), 国泰中证计算机主题ETF联接E(022541)"
A股,930652,2015-06-05,CS电子,成长,,1.33%,-62.10%,-62.60%,6e+01,94.19%,6.1,99.55%,10.17%,0.63%,"天弘中证电子ETF联接A(001617), 天弘中证电子ETF联接C(001618), 天弘中证电子ETF(159997)"
A股,930653,2015-06-05,CS食品饮,成长,,-56.38%,-60.40%,-9.22%,2.2e+01,10.26%,3.7,0.00%,16.82%,3.65%,"天弘中证食品饮料ETF联接C(001632), 天弘中证食品饮料ETF联接A(001631), 天弘中证食品饮料ETF(159736), 东财食品饮料指数增强C(012341), 东财食品饮料指数增强A(012340), 东财食品饮料指数增强E(022178)"
A股,930697,2015-07-07,家用电器,成长,,-12.41%,-42.54%,-34.40%,1.7e+01,42.42%,2.5,8.53%,14.71%,3.79%,"广发中证全指家用电器ETF联接A(005063), 广发中证全指家用电器ETF联接C(005064), 国泰中证全指家用电器ETF联接A(008713), 国泰中证全指家用电器ETF(159996), 国泰中证全指家用电器ETF联接C(008714), 富国中证全指家用电器ETF(561120), 广发中证全指家用电器ETF(560880), 富国中证全指家用电器ETF发起式联接A(017226), 富国中证全指家用电器ETF发起式联接C(017227), 嘉实中证全指家用电器指数发起式A(018564), 嘉实中证全指家用电器指数发起式C(018565), 国泰中证全指家用电器ETF联接E(022483), 南方中证全指家用电器指数发起(024315)"
A股,930707,2015-07-13,中证畜牧,周期,,-54.90%,-63.56%,-19.20%,3.5e+01,65.99%,2.4,2.84%,6.86%,2.25%,"招商中证畜牧养殖ETF(516670), 平安中证畜牧养殖ETF(516760), 国泰中证畜牧养殖ETF(159865), 畜牧ETF(159867), 国泰中证畜牧养殖ETF联接A(012724), 国泰中证畜牧养殖ETF联接C(012725), 招商中证畜牧养殖ETF联接A(014414), 招商中证畜牧养殖ETF联接C(014415), 国泰中证畜牧养殖ETF联接E(022475)"
A股,930708,2015-07-13,中证有色,周期,,-20.63%,-52.23%,-39.81%,2.3e+01,33.47%,3.4,91.22%,14.78%,1.35%,"华宝中证有色金属ETF(159876), 东财有色增强A(011630), 有色金属(159871), 东财有色增强C(011631), 国泰中证有色金属ETF(159881), 华宝中证有色金属ETF发起式联接A(017140), 华宝中证有色金属ETF发起式联接C(017141), 东财有色增强E(020735)"
A股,930709,2015-07-13,香港证券,周期,,-22.98%,-62.69%,-51.56%,1.1e+01,28.22%,0.98,52.58%,8.91%,3.45%,易方达中证香港证券投资主题（港股通）ETF(513090)
A股,930712,2015-07-31,CS物联网,成长,,-1.53%,-46.49%,-45.66%,3.5e+01,69.04%,4.7,75.72%,13.43%,1.31%,"物联网(516330), 华夏中证物联网主题ETF(516260), 南方中证物联网主题ETF(159896), 易方达中证物联网主题ETF(159895), 招商中证物联网主题ETF(159701), 易方达中证物联网主题ETF联接发起式A(019167), 易方达中证物联网主题ETF联接发起式C(019168), 华夏物联网ETF联接A(019975), 华夏中证物联网主题ETF发起式联接C(019976), 南方中证物联网主题ETF发起联接A(023196), 南方中证物联网主题ETF发起联接C(023197)"
A股,930713,2015-07-31,CS人工智,成长,,-2.90%,-54.61%,-53.25%,5.8e+01,64.10%,7.5,98.80%,12.93%,0.57%,"融通人工智能指数(LOF)A(161631), 华夏中证人工智能主题ETF(515070), 平安人工智能ETF(512930), 华夏中证人工智能主题ETF联接C(008586), 易方达中证人工智能主题ETF(159819), 融通人工智能指数(LOF)C(009239), 华夏人工智能ETF联接A(008585), 西部利得中证人工智能主题指数增强A(011832), 西部利得中证人工智能主题指数增强C(011833), 天弘中证人工智能A(011839), 天弘中证人工智能C(011840), 易方达中证人工智能主题ETF联接A(012733), 易方达中证人工智能主题ETF联接C(012734), 华夏中证人工智能主题ETF联接D(021580), 中欧中证人工智能主题指数发起A(023461), 平安中证人工智能主题ETF发起式联接A(023384), 中欧中证人工智能主题指数发起C(023462), 平安中证人工智能主题ETF发起式联接C(023385), 万家中证人工智能主题ET(159248), 平安中证人工智能主题ETF发起式联接E(024610)"
A股,930716,2015-07-31,CS物流,成长,,-41.96%,-58.36%,-28.26%,1.6e+01,39.49%,1.3,16.74%,8.12%,3.11%,"富国中证现代物流ETF(516910), 物流快递(516530)"
A股,930719,2015-08-05,CS精准医,成长,,-53.39%,-71.59%,-39.05%,4e+01,23.33%,4.5,16.74%,11.25%,0.77%,"汇添富中证精准医疗指数（LOF）C(501006), 汇添富中证精准医疗指数（LOF）A(501005)"
A股,930721,2015-08-05,CS智汽车,成长,,-14.35%,-51.21%,-43.04%,3.6e+01,35.62%,3.6,38.22%,10.00%,0.63%,"富国中证智能汽车指数（LOF）A(161033), 富国中证智能汽车主题ETF(515250), 天弘中证智能汽车A(010955), 智能驾驶(516520), 天弘中证智能汽车C(010956), 华夏中证智能汽车主题ETF(159888), 国泰中证智能汽车主题ETF(159889), 富国中证智能汽车指数（LOF）C(013292), 汇添富中证智能汽车主题ETF(159795)"
A股,930726,2015-08-05,CS生医,成长,,-60.97%,-68.60%,-19.55%,5.3e+01,61.79%,4.2,14.72%,7.92%,0.91%,"国泰中证生物医药ETF联接C(006757), 国泰中证生物医药ETF(512290), 国泰中证生物医药ETF联接A(006756), 国泰中证生物医药ETF联接E(022498)"
A股,930740,2018-12-04,300红利LV,价值,,-4.56%,-23.91%,-20.27%,9.4,97.38%,0.95,79.74%,10.11%,4.12%,"嘉实沪深300红利低波动ETF(515300), 嘉实沪深300红利低波动ETF联接C(007606), 嘉实沪深300红利低波动ETF联接A(007605), 嘉实沪深300红利低波动ETF联接Y(022897), 中加沪深300红利低波动指数(024906)"
A股,930743,2015-08-26,中证生科,成长,,-58.87%,-67.62%,-21.27%,5.5e+01,71.31%,3.6,10.59%,6.55%,0.95%,"汇添富中证生物科技指数（LOF）A(501009), 汇添富中证生物科技指数（LOF）C(501010), 易方达中证生物科技主题ETF(159837), 招商中证生物科技主题ETF(159849), 华夏中证生物科技主题ETF(516500), 生物科技ETF基金(516930), 华夏中证生物科技主题ETF发起式联接A(017604), 华夏中证生物科技主题ETF发起式联接C(017605), 易方达中证生物科技主题ETF联接发起式A(019324), 易方达中证生物科技主题ETF联接发起式C(019325)"
A股,930781,2016-02-04,中证影视,成长,,-67.70%,-78.22%,-32.57%,1.5e+03,63.81%,2.2,30.21%,0.15%,0.87%,"影视ETF(159855), 国泰中证影视主题ETF(516620)"
A股,930782,2016-02-04,500SNLV,价值,,-7.48%,-37.10%,-32.01%,2.2e+01,68.96%,1.8,75.56%,8.18%,2.10%,"景顺长城中证500行业中性低波动指数A(003318), 华安中证500低波ETF(512260), 景顺长城中证500行业中性低波动指数C(019359)"
A股,930791,2016-03-22,CS医药TI,成长,,-48.87%,-58.84%,-19.50%,3.7e+01,58.08%,2.9,7.30%,7.84%,1.51%,"富国中证医药主题指数增强型（LOF）A(161035), 天弘中证医药主题指数增强A(012401), 富国中证医药主题指数增强型（LOF）C(005626), 天弘中证医药主题指数增强C(012402), 天弘中证医药主题指数增强E(022558)"
A股,930792,2016-04-22,HK银行,价值,,-1.67%,-48.72%,-47.85%,7.1,87.05%,0.69,63.91%,9.72%,4.66%,"鹏华中证香港银行指数（LOF）A(501025), 泰康香港银行指数A(006809), 泰康香港银行指数C(006810), 鹏华中证香港银行指数(LOF)C(010365)"
A股,930820,2016-05-11,CS高端制,成长,,-1.49%,-51.78%,-51.05%,4.9e+01,94.92%,4.2,91.48%,8.57%,0.86%,"富国中证高端制造指数增强型（LOF）A(161037), 富国中证高端制造指数增强型（LOF）C(005627)"
A股,930821,2016-05-11,中证VR,成长,,-2.17%,-52.90%,-51.86%,5.2e+01,73.84%,3.3,68.87%,6.35%,0.78%,VRETF(159786)
A股,930839,2016-06-08,港股通高息精选,价值,,-7.61%,-47.34%,-43.00%,1.1e+01,69.66%,1.6,78.33%,14.55%,4.67%,"民生加银港股通高股息A(004532), 民生加银中证港股通指数C(004533), 港股红利ETF(159691), 工银中证港股通高股息精选ETF联接A(024247), 工银中证港股通高股息精选ETF联接C(024248)"
A股,930850,2016-07-20,智能制造,成长,,-1.93%,-50.88%,-49.91%,6.1e+01,97.36%,5.7,96.22%,9.34%,0.70%,华宝中证智能制造主题ETF(516800)
A股,930851,2016-07-20,云计算,成长,,-13.10%,-59.60%,-53.51%,7.6e+01,60.62%,7.8,98.86%,10.26%,0.29%,"融通中证云计算与大数据主题指数（LOF）A(161628), 易方达中证云计算与大数据主题ETF(516510), 招商中证云计算ETF(159890), 东财云计算指数增强A(012321), 华夏中证云计算与大数据主题ETF(516630), 东财云计算指数增强C(012322), 大数据ETF(159739), 融通中证云计算与大数据主题指数（LOF）C(014130), 易方达中证云计算与大数据主题ETF联接发起式A(017853), 易方达中证云计算与大数据主题ETF联接发起式C(017854), 华夏云计算与大数据ETF联接A(019868), 华夏中证云计算与大数据主题ETF发起式联接C(019869), 广发中证云计算与大数据ETF(159527), 广发中证云计算与大数据ETF发起式联接A(021397), 广发中证云计算与大数据ETF发起式联接C(021398), 鹏华中证云计算与大数据主题ETF发起式联接A(021090), 招商中证云计算与大数据主题ETF发起式联接A(021716), 鹏华中证云计算与大数据主题ETF发起式联接C(021091), 招商中证云计算与大数据主题ETF发起式联接C(021717), 华安中证云计算与大数据主题指数发起式A(019989), 华安中证云计算与大数据主题指数发起式C(019990)"
A股,930875,2016-08-17,空天军工,成长,,-28.48%,-59.40%,-43.23%,7.5e+01,82.64%,4.0,61.98%,5.33%,0.54%,"鹏华空天军工指数（LOF）A(160643), 鹏华空天军工指数C（LOF）(010364)"
A股,930901,2016-10-18,动漫游戏,成长,,-52.85%,-75.11%,-47.21%,3.4e+01,34.23%,3.4,63.27%,10.00%,1.63%,"国泰中证动漫游戏ETF(516010), 游戏动漫(516770), 华夏中证动漫游戏ETF(159869), 国泰中证动漫游戏ETF联接A(012728), 国泰中证动漫游戏ETF联接C(012729), 华夏中证动漫游戏ETF发起式联接A(012768), 华夏中证动漫游戏ETF发起式联接C(012769), 国泰中证动漫游戏ETF联接E(022481), 华夏中证动漫游戏ETF发起式联接D(023715)"
A股,930902,2016-10-18,中证数据,成长,,-35.14%,-65.13%,-46.24%,1.5e+02,84.18%,4.6,76.06%,3.07%,0.37%,"富国中证大数据产业ETF(515400), 华夏中证大数据产业ETF(516000), 华宝大数据ETF(516700), 富国中证大数据产业ETF发起式联接A(018134), 富国中证大数据产业ETF发起式联接C(018135), 华夏中证大数据产业ETF发起式联接A(020335), 华夏中证大数据产业ETF发起式联接C(020336), 华夏中证大数据产业ETF发起式联接D(023779)"
A股,930914,2016-11-25,港股通高股息,价值,,-1.10%,-49.12%,-48.55%,8.5,87.89%,0.82,75.60%,9.65%,4.92%,"汇添富中证港股通高股息投资ETF联接（LOF）C(501306), 汇添富中证港股通高股息投资ETF联接（LOF）A(501305), 港股红利(513530), 华泰柏瑞中证港股通高股息投资ETF发起式联接A(018387), 华泰柏瑞中证港股通高股息投资ETF发起式联接C(018388), 汇添富中证港股通高股息投资ETF(513820), 国泰中证港股通高股息投资ETF(159331), 港股高股息ETF(159302), 天弘中证港股通高股息投资指数发起A(022072), 国泰中证港股通高股息投资ETF发起联接A(022274), 天弘中证港股通高股息投资指数发起C(022073), 国泰中证港股通高股息投资ETF发起联接C(022275), 华泰柏瑞中证港股通高股息投资ETF发起式联接I(022663), 嘉实中证港股通高股息投资ETF(513830), 国泰君安中证港股通高股息投资指数发起（QDII）A(023073), 长城中证港股通高股息指数发起（QDII）A(022325), 国泰君安中证港股通高股息投资指数发起（QDII）C(023074), 易方达中证港股通高股息投资指数发起式A(023389), 易方达中证港股通高股息投资指数发起式C(023390), 长城中证港股通高股息指数发起（QDII）C(022326), 中银中证港股通高股息投资指数型证券投资基金(023104), 中银中证港股通高股息投资指数C(023105), 嘉实中证港股通高股息投资ETF发起联接A(024705), 富国中证港股通高股息投资ETF(159277), 东方红中证港股通高股息投资指数A(024227), 嘉实中证港股通高股息投资ETF发起联接C(024706), 东方红中证港股通高股息投资指数C(024228)"
A股,930931,2017-01-16,港股通50,价值,,-14.84%,-53.72%,-45.66%,1.1e+01,70.73%,1.1,69.12%,10.00%,3.40%,"港股通50(513550), 华夏中证港股通50ETF(159711), 国泰中证港股通50ETF(159712), 华夏中证港股通50ETF发起式联接A(018721), 华夏中证港股通50ETF发起式联接C(018722)"
A股,930939,2018-11-21,500质量,成长,,-6.91%,-41.09%,-36.72%,2e+01,84.84%,2.3,59.24%,11.50%,1.96%,"鹏扬中证500质量成长ETF联接C(007594), 鹏扬中证500质量成长ETF联接A(007593), 鹏扬中证500质量成长ETF(560500), 易方达中证500质量成长ETF(159606), 易方达中证500质量成长ETF联接发起式A(019320), 易方达中证500质量成长ETF联接发起式C(019321), 500成长(562340)"
A股,930955,2017-05-26,红利低波100,价值,,-1.72%,-28.63%,-27.38%,9.2,86.28%,0.91,66.47%,9.89%,4.38%,"天弘中证红利低波动100ETF联接A(008114), 天弘中证红利低波动100ETF联接C(008115), 景顺长城中证红利低波动100ETF(515100), 景顺长城中证红利低波动100ETF联接A(016128), 景顺长城中证红利低波动100ETF联接C(016129), 天弘中证红利低波动100ETF(159549), 博时中证红利低波动100指数发起式A(019853), 博时中证红利低波动100指数发起式C(019854), 交银中证红利低波动100指数A(020156), 招商中证红利低波动100指数发起式A(020672), 大成中证红利低波动100ETF(560520), 博时中证红利低波100ETF(159307), 交银中证红利低波动100指数C(020157), 招商中证红利低波动100指数发起式C(020673), 博时中证红利低波动100ETF联接A(021550), 银河中证红利低波动100指数A(021388), 中欧中证红利低波动100指数发起A(021375), 博时中证红利低波动100ETF联接C(021551), 银河中证红利低波动100指数C(021389), 中欧中证红利低波动100指数发起C(021376), 长城中证红利低波100ETF联接A(022097), 长盛中证红利低波动100指数A(022342), 长城中证红利低波100ETF联接C(022098), 天弘中证红利低波动100ETF联接Y(022980), 长盛中证红利低波动100指数C(022343), 长城中证红利低波100ETF(159228), 汇安中证红利低波动100指数(024220)"
A股,930965,2017-06-23,HKC医药C,成长,,-52.44%,-75.07%,-47.58%,4.3e+01,57.21%,2.6,46.48%,6.05%,0.95%,"香港医药(513700), 平安中证港股医药ETF(159718), 港股通医药ETF(159776), 易方达中证港股通医药卫生综合ETF(513200), 易方达中证港股通医药卫生综合ETF联接发起式A(018557), 易方达中证港股通医药卫生综合ETF联接发起式C(018558), 平安中证港股医药ETF联接A(019598), 平安中证港股医药ETF联接C(019599), 鹏华中证港股通医药卫生ETF发起式联接A(021088), 鹏华中证港股通医药卫生ETF发起式联接C(021089), 平安中证港股医药ETF联接E(024544)"
A股,930986,2017-06-22,金融科技,成长,,-30.44%,-53.03%,-32.48%,5.1e+01,41.62%,4.7,49.77%,9.22%,0.77%,"华宝中证金融科技主题ETF(159851), 华夏中证金融科技主题ETF(516100), 博时金融科技ETF(516860), 华宝中证金融科技主题ETF发起式联接C(013478), 华宝中证金融科技主题ETF发起式联接A(013477), 博时中证金融科技主题ETF联接A(023536), 华夏中证金融科技主题ETF发起式联接A(023884), 华夏中证金融科技主题ETF发起式联接C(023885), 博时中证金融科技主题ETF联接C(023537), 汇添富中证金融科技主题ETF(159103), 易方达中证金融科技主题ETF(159299)"
A股,930997,2017-07-19,新能源车,成长,,-25.68%,-67.51%,-56.28%,3.2e+01,50.31%,4.2,64.68%,13.12%,1.00%,"汇添富中证新能源汽车产业指数（LOF）C(501058), 汇添富中证新能源汽车产业指数（LOF）A(501057), 平安中证新能源汽车产业ETF(515700), 平安中证新能车ETF联接A(012698), 汇添富中证新能源汽车产业ETF(516390), 平安中证新能源汽车ETF发起联接C(012699), 平安中证新能源汽车ETF发起联接E(024504)"
A股,931008,2013-07-15,汽车指数,成长,,-11.74%,-46.17%,-39.01%,2.8e+01,59.51%,2.3,53.53%,8.21%,1.41%,"广发中证全指汽车指数A(004854), 广发中证全指汽车指数C(004855), 广发中证全指汽车ETF(159512), 南方中证全指汽车指数发起A(021770), 南方中证全指汽车指数发起C(021771)"
A股,931009,2013-07-15,建筑材料,周期,,-49.06%,-62.82%,-27.01%,7e+01,99.40%,1.0,15.58%,1.43%,2.35%,"广发中证全指建筑材料指数A(004856), 广发中证全指建筑材料指数C(004857), 国泰中证全指建筑材料ETF(159745), 富国中证全指建筑材料ETF(516750), 易方达中证全指建筑材料ETF(159787)"
A股,931052,2017-12-08,国信价值,价值,*,-3.55%,-31.89%,-29.38%,1.1e+01,99.95%,1.4,98.72%,12.73%,3.74%,"富国中证价值ETF(512040), 富国中证价值ETF联接A(006748), 富国中证价值ETF联接C(007191)"
A股,931066,2018-02-05,军工龙头,成长,,-28.17%,-57.36%,-40.64%,8.2e+01,96.79%,3.6,46.03%,4.39%,0.56%,富国中证军工龙头ETF(512710)
